company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ABB,con,CON-FALLBACK,"Subject to macro-economic cycles, regulatory changes, and raw material price volatility",65
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93x is elevated for a non-financial company and warrants monitoring,85
ADANIENSOL,con,CON-10,"Return on capital employed of 9.1% is below 10%, suggesting insufficient return on invested capital",80
ADANIENSOL,con,CON-11,Net debt exceeding 6.4 times EBITDA limits financial flexibility,80
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,CON-05,Revenue contraction over consecutive years indicates demand weakness or market share loss,80
ADANIENT,con,CON-10,"Return on capital employed of 9.1% is below 10%, suggesting insufficient return on invested capital",80
ADANIENT,con,CON-11,Net debt exceeding 5.0 times EBITDA limits financial flexibility,80
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60x is elevated for a non-financial company and warrants monitoring,85
ADANIGREEN,con,CON-10,"Return on capital employed of 8.9% is below 10%, suggesting insufficient return on invested capital",80
ADANIGREEN,con,CON-11,Net debt exceeding 8.7 times EBITDA limits financial flexibility,80
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPORTS,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ADANIPORTS,con,CON-FALLBACK,"Subject to macro-economic cycles, regulatory changes, and raw material price volatility",65
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ADANIPOWER,con,CON-FALLBACK,"Subject to macro-economic cycles, regulatory changes, and raw material price volatility",65
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
AMBUJACEM,con,CON-FALLBACK,"Subject to macro-economic cycles, regulatory changes, and raw material price volatility",65
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
APOLLOHOSP,pro,PRO-08,Consistent dividend yield of 3.22% is backed by positive free cash flow,75
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
APOLLOHOSP,con,CON-FALLBACK,"Subject to macro-economic cycles, regulatory changes, and raw material price volatility",65
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ASIANPAINT,pro,PRO-08,Consistent dividend yield of 2.42% is backed by positive free cash flow,75
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
